SG 553,崭新出厂,纪念品,779170,SG 553（纪念品） | 浪花穿孔,1,9998.5,1020.02,0.1,2024-06-17
SG 553,破损不堪,纪念品,877022,SG 553（纪念品） | 废墟丛生,32,0.12,0.36,3.0,2024-06-20
SG 553,破损不堪,纪念品,877167,SG 553（纪念品） | 白骨,77,0.1,0.29,2.9,2024-06-20
SG 553,战痕累累,纪念品,877152,SG 553（纪念品） | 白骨,96,0.1,0.29,2.9,2024-06-20
SG 553,崭新出厂,普通,36444,SG 553 | 军队之辉,1456,0.1,0.29,2.9,2024-06-20
SG 553,略有磨损,纪念品,877147,SG 553（纪念品） | 白骨,906,0.08,0.29,3.62,2024-06-20
SG 553,战痕累累,纪念品,877017,SG 553（纪念品） | 废墟丛生,170,0.06,0.22,3.67,2024-06-20
SG 553,久经沙场,纪念品,877005,SG 553（纪念品） | 废墟丛生,832,0.06,0.29,4.83,2024-06-20
SG 553,略有磨损,普通,36446,SG 553 | 军队之辉,747,0.06,0.29,4.83,2024-06-20
SG 553,久经沙场,普通,36445,SG 553 | 军队之辉,197,0.06,0.29,4.83,2024-06-20
SG 553,久经沙场,纪念品,877133,SG 553（纪念品） | 白骨,3597,0.05,0.29,5.8,2024-06-20
SG 553,略有磨损,普通,36519,SG 553 | 浪花穿孔,1026,0.04,0.22,5.5,2024-06-20
SG 553,久经沙场,普通,36518,SG 553 | 浪花穿孔,1561,0.04,0.22,5.5,2024-06-20
SG 553,战痕累累,普通,36516,SG 553 | 浪花穿孔,223,0.03,0.22,7.33,2024-06-20
